Date,3M
1/2/2023,1.809517
1/3/2023,1.92907
1/4/2023,2.017754
1/5/2023,2.097577
1/6/2023,2.060559
1/9/2023,2.168529
1/10/2023,2.148544
1/11/2023,2.153317
1/12/2023,2.19558
1/13/2023,2.200177
1/16/2023,2.098305
1/17/2023,2.152229
1/18/2023,2.198688
1/19/2023,2.180387
1/20/2023,2.200965
1/23/2023,2.190499
1/24/2023,2.15888
1/25/2023,2.185898
1/26/2023,2.232931
1/27/2023,2.228466
1/30/2023,2.262846
1/31/2023,2.222864
2/1/2023,2.282007
2/2/2023,2.30032
2/3/2023,2.316058
2/6/2023,2.296899
2/7/2023,2.330353
2/8/2023,2.356813
2/9/2023,2.393026
2/10/2023,2.406697
2/13/2023,2.464538
2/14/2023,2.505879
2/15/2023,2.543582
2/16/2023,2.555224
2/17/2023,2.548311
2/20/2023,2.593998
2/21/2023,2.633524
2/22/2023,2.616886
2/23/2023,2.64308
2/24/2023,2.685981
2/27/2023,2.683553
2/28/2023,2.66272
3/1/2023,2.685441
3/2/2023,2.718573
3/3/2023,2.731763
3/6/2023,2.682892
3/7/2023,2.716293
3/8/2023,2.737903
3/9/2023,2.753243
3/10/2023,2.76318
3/13/2023,2.640374
3/14/2023,2.640834
3/15/2023,2.603413
3/16/2023,2.711972
3/17/2023,2.711638
3/20/2023,2.652961
3/21/2023,2.801051
3/22/2023,2.821481
3/23/2023,2.805827
3/24/2023,2.796616
3/27/2023,2.749924
3/28/2023,2.763728
3/29/2023,2.749397
3/30/2023,2.712525
3/31/2023,2.756573
4/3/2023,2.75381
4/4/2023,2.77398
4/5/2023,2.85089
4/6/2023,2.792782
4/11/2023,2.806566
4/12/2023,2.820922
4/13/2023,2.879598
4/14/2023,2.910801
4/17/2023,2.933931
4/18/2023,2.880534
4/19/2023,2.809891
4/20/2023,2.886855
4/21/2023,2.887282
4/24/2023,2.896154
4/25/2023,2.935744
4/26/2023,2.915835
4/27/2023,2.887332
4/28/2023,2.8843
5/2/2023,2.892645
5/3/2023,2.88128
5/4/2023,2.942454
5/5/2023,2.946276
5/8/2023,2.955795
5/9/2023,2.992068
5/10/2023,2.949824
5/11/2023,2.998546
5/12/2023,3.043832
5/15/2023,2.987399
5/16/2023,2.957685
5/17/2023,3.023754
5/18/2023,3.026209
5/19/2023,3.070655
5/22/2023,3.021749
5/23/2023,3.076518
5/24/2023,3.026744
5/25/2023,3.074576
5/26/2023,3.062303
5/29/2023,3.025544
5/30/2023,3.035232
5/31/2023,3.074241
6/1/2023,3.090573
6/2/2023,3.138413
6/5/2023,3.172214
6/6/2023,3.157921
6/7/2023,3.181302
6/8/2023,3.197073
6/9/2023,3.212694
6/12/2023,3.198637
6/13/2023,3.23309
6/14/2023,3.258244
6/15/2023,3.322718
6/16/2023,3.320927
6/19/2023,3.327125
6/20/2023,3.297308
6/21/2023,3.292364
6/22/2023,3.316255
6/23/2023,3.310154
6/26/2023,3.318326
6/27/2023,3.349896
6/28/2023,3.37085
6/29/2023,3.375882
6/30/2023,3.38881
7/3/2023,3.389392
7/4/2023,3.426605
7/5/2023,3.467028
7/6/2023,3.46423
7/7/2023,3.4522
7/10/2023,3.485961
7/11/2023,3.473455
7/12/2023,3.501295
7/13/2023,3.511855
7/14/2023,3.516609
7/17/2023,3.504947
7/18/2023,3.492525
7/19/2023,3.418584
7/20/2023,3.453616
7/21/2023,3.416724
7/24/2023,3.447721
7/25/2023,3.457189
7/26/2023,3.415112
7/27/2023,3.434634
7/28/2023,3.425972
7/31/2023,3.478402
8/1/2023,3.483707
8/2/2023,3.479797
8/3/2023,3.447481
8/4/2023,3.475078
8/7/2023,3.448879
8/8/2023,3.442093
8/9/2023,3.431818
8/10/2023,3.420151
8/11/2023,3.422226
8/14/2023,3.44419
8/15/2023,3.451299
8/16/2023,3.470452
8/17/2023,3.447517
8/18/2023,3.537269
8/21/2023,3.466175
8/22/2023,3.509637
8/23/2023,3.498184
8/24/2023,3.466177
8/25/2023,3.472152
8/28/2023,3.506166
8/29/2023,3.507343
8/30/2023,3.47392
8/31/2023,3.461189
9/1/2023,3.383392
9/4/2023,3.460709
9/5/2023,3.438523
9/6/2023,3.462864
9/7/2023,3.495018
9/8/2023,3.505677
9/11/2023,3.498566
9/12/2023,3.545671
9/13/2023,3.555246
9/14/2023,3.608546
9/15/2023,3.583924
9/18/2023,3.609074
9/19/2023,3.60925
9/20/2023,3.675348
9/21/2023,3.707885
9/22/2023,3.638307
9/25/2023,3.660847
9/26/2023,3.655952
9/27/2023,3.663948
9/28/2023,3.679178
9/29/2023,3.700476
10/2/2023,3.72039
10/3/2023,3.746731
10/4/2023,3.733321
10/5/2023,3.770876
10/6/2023,3.796274
10/9/2023,3.788265
10/10/2023,3.823579
10/11/2023,3.810103
10/12/2023,3.784022
10/13/2023,3.763186
10/16/2023,3.727609
10/17/2023,3.687059
10/18/2023,3.696567
10/19/2023,3.718851
10/20/2023,3.736428
10/23/2023,3.744084
10/24/2023,3.782447
10/25/2023,3.780289
10/26/2023,3.774749
10/27/2023,3.775544
10/30/2023,3.787603
10/31/2023,3.820397
11/1/2023,3.810609
11/2/2023,3.804508
11/6/2023,3.789321
11/7/2023,3.75571
11/8/2023,3.783392
11/9/2023,3.777767
11/10/2023,3.756223
11/13/2023,3.721741
11/14/2023,3.70132
11/15/2023,3.756519
11/16/2023,3.794078
11/17/2023,3.776721
11/20/2023,3.761153
11/21/2023,3.732442
11/22/2023,3.731638
11/23/2023,3.735055
11/24/2023,3.696302
11/27/2023,3.752448
11/28/2023,3.755036
11/29/2023,3.786905
11/30/2023,3.783368
12/1/2023,3.744492
12/4/2023,3.801347
12/5/2023,3.781408
12/6/2023,3.694098
12/7/2023,3.695809
12/8/2023,3.717103
12/11/2023,3.738343
12/12/2023,3.749957
12/13/2023,3.777371
12/14/2023,3.739903
12/15/2023,3.767486
12/18/2023,3.779164
12/19/2023,3.753749
12/20/2023,3.753756
12/21/2023,3.743627
12/22/2023,3.743337
12/27/2023,3.748294
12/28/2023,3.784413
12/29/2023,3.783453
